cvr,agg5,agg10,agg20,diff1,diff2,diff3,diff4
0.14346,0.14405,0.14272,0.14057,0.014946,0.050297,0.097098,0.15797
0.13253,0.14405,0.14272,0.14057,-0.01093,-0.025876,-0.076173,-0.17327
0.1519,0.14405,0.14272,0.14057,0.019369,0.030298,0.056174,0.13235
0.12598,0.12222,0.11701,0.12426,-0.025914,-0.045283,-0.075582,-0.13176
0.10305,0.12222,0.11701,0.12426,-0.022931,0.0029837,0.048267,0.12385
0.13534,0.12222,0.11701,0.12426,0.032285,0.055216,0.052232,0.0039653
0.12928,0.12222,0.11701,0.12426,-0.0060608,-0.038346,-0.093561,-0.14579
0.11742,0.12222,0.11701,0.12426,-0.011853,-0.0057925,0.032553,0.12611
0.12709,0.1118,0.11701,0.12426,0.0096661,0.021519,0.027312,-0.0052412
0.14876,0.1118,0.11701,0.12426,0.02167,0.012004,-0.0095154,-0.036827
0.084559,0.1118,0.11701,0.12426,-0.064202,-0.085872,-0.097876,-0.08836
0.10943,0.1118,0.11701,0.12426,0.024875,0.089077,0.17495,0.27282
0.089147,0.1118,0.11701,0.12426,-0.020287,-0.045162,-0.13424,-0.30919
0.13793,0.12925,0.13151,0.12426,0.048784,0.06907,0.11423,0.24847
0.11583,0.12925,0.13151,0.12426,-0.022101,-0.070885,-0.13996,-0.25419
0.094488,0.12925,0.13151,0.12426,-0.021342,0.00075899,0.071644,0.2116
0.15294,0.12925,0.13151,0.12426,0.058453,0.079795,0.079036,0.0073923
0.14504,0.12925,0.13151,0.12426,-0.007903,-0.066356,-0.14615,-0.22519
0.16216,0.13377,0.13151,0.12426,0.017124,0.025027,0.091383,0.23753
0.12692,0.13377,0.13151,0.12426,-0.035239,-0.052363,-0.07739,-0.16877
0.13725,0.13377,0.13151,0.12426,0.010332,0.045571,0.097934,0.17532
0.089606,0.13377,0.13151,0.12426,-0.047649,-0.057981,-0.10355,-0.20149
0.15289,0.13377,0.13151,0.12426,0.063287,0.11094,0.16892,0.27247
0.098214,0.13446,0.12559,0.12992,-0.054678,-0.11797,-0.2289,-0.39782
0.16071,0.13446,0.12559,0.12992,0.0625,0.11718,0.23514,0.46404
0.093496,0.13446,0.12559,0.12992,-0.067218,-0.12972,-0.2469,-0.48204
0.17442,0.13446,0.12559,0.12992,0.080923,0.14814,0.27786,0.52476
0.14545,0.13446,0.12559,0.12992,-0.028964,-0.10989,-0.25803,-0.53589
0.10526,0.11673,0.12559,0.12992,-0.040191,-0.011227,0.098659,0.35669
0.10042,0.11673,0.12559,0.12992,-0.0048447,0.035347,0.046574,-0.052085
0.11814,0.11673,0.12559,0.12992,0.017725,0.02257,-0.012777,-0.059351
0.13636,0.11673,0.12559,0.12992,0.01822,0.00049513,-0.022075,-0.0092978
0.12346,0.11673,0.12559,0.12992,-0.012907,-0.031127,-0.031622,-0.0095475
0.18056,0.13797,0.13424,0.12992,0.057099,0.070006,0.10113,0.13275
0.12016,0.13797,0.13424,0.12992,-0.060401,-0.1175,-0.1875,-0.28864
0.10833,0.13797,0.13424,0.12992,-0.011822,0.048579,0.16608,0.35358
0.1681,0.13797,0.13424,0.12992,0.05977,0.071592,0.023013,-0.14307
0.11273,0.13797,0.13424,0.12992,-0.055376,-0.11515,-0.18674,-0.20975
0.11407,0.13051,0.13424,0.12992,0.0013412,0.056717,0.17186,0.3586
0.13109,0.13051,0.13424,0.12992,0.017018,0.015677,-0.041041,-0.2129
0.12749,0.13051,0.13424,0.12992,-0.0035961,-0.020614,-0.03629,0.0047505
0.1281,0.13051,0.13424,0.12992,0.00060913,0.0042052,0.024819,0.061109
0.15179,0.13051,0.13424,0.12992,0.023687,0.023077,0.018872,-0.0059469
0.11583,0.13355,0.1281,0.1347,-0.035956,-0.059642,-0.08272,-0.10159
0.13806,0.13355,0.1281,0.1347,0.02223,0.058185,0.11783,0.20055
0.13223,0.13355,0.1281,0.1347,-0.0058283,-0.028058,-0.086243,-0.20407
0.12017,0.13355,0.1281,0.1347,-0.01206,-0.0062314,0.021826,0.10807
0.16143,0.13355,0.1281,0.1347,0.041263,0.053323,0.059554,0.037728
0.11152,0.12265,0.1281,0.1347,-0.049911,-0.091174,-0.1445,-0.20405
0.13305,0.12265,0.1281,0.1347,0.021523,0.071434,0.16261,0.30711
0.12548,0.12265,0.1281,0.1347,-0.0075719,-0.029095,-0.10053,-0.26314
0.14957,0.12265,0.1281,0.1347,0.024097,0.031669,0.060764,0.16129
0.093617,0.12265,0.1281,0.1347,-0.055956,-0.080053,-0.11172,-0.17249
0.19658,0.13333,0.1413,0.1347,0.10296,0.15892,0.23897,0.3507
0.11203,0.13333,0.1413,0.1347,-0.084548,-0.18751,-0.34643,-0.5854
0.13061,0.13333,0.1413,0.1347,0.018579,0.10313,0.29064,0.63707
0.12782,0.13333,0.1413,0.1347,-0.0027927,-0.021372,-0.1245,-0.41514
0.099617,0.13333,0.1413,0.1347,-0.028203,-0.02541,-0.0040382,0.12046
0.15326,0.14926,0.1413,0.1347,0.05364,0.081843,0.10725,0.11129
0.14909,0.14926,0.1413,0.1347,-0.0041658,-0.057806,-0.13965,-0.2469
0.1553,0.14926,0.1413,0.1347,0.0062121,0.010378,0.068184,0.20783
0.13924,0.14926,0.1413,0.1347,-0.016063,-0.022275,-0.032653,-0.10084
0.14943,0.14926,0.1413,0.1347,0.010185,0.026247,0.048522,0.081175
0.13934,0.1434,0.13458,0.13201,-0.010081,-0.020266,-0.046513,-0.095035
0.15415,0.1434,0.13458,0.13201,0.014806,0.024887,0.045153,0.091666
0.159,0.1434,0.13458,0.13201,0.0048456,-0.0099603,-0.034847,-0.08
0.11066,0.1434,0.13458,0.13201,-0.04834,-0.053186,-0.043225,-0.0083781
0.15385,0.1434,0.13458,0.13201,0.04319,0.09153,0.14472,0.18794
0.13439,0.12576,0.13458,0.13201,-0.019459,-0.062649,-0.15418,-0.2989
0.13253,0.12576,0.13458,0.13201,-0.0018572,0.017602,0.080251,0.23443
0.10843,0.12576,0.13458,0.13201,-0.024096,-0.022239,-0.039841,-0.12009
0.13028,0.12576,0.13458,0.13201,0.021848,0.045944,0.068183,0.10802
0.12319,0.12576,0.13458,0.13201,-0.0070933,-0.028941,-0.074886,-0.14307
0.13158,0.13815,0.12944,0.13201,0.0083905,0.015484,0.044425,0.11931
0.17269,0.13815,0.12944,0.13201,0.041112,0.032721,0.017237,-0.027188
0.13169,0.13815,0.12944,0.13201,-0.041004,-0.082115,-0.11484,-0.13207
0.14583,0.13815,0.12944,0.13201,0.014146,0.05515,0.13726,0.2521
0.10895,0.13815,0.12944,0.13201,-0.036884,-0.05103,-0.10618,-0.24344
0.12069,0.12073,0.12944,0.13201,0.01174,0.048624,0.099654,0.20583
0.096429,0.12073,0.12944,0.13201,-0.024261,-0.036001,-0.084625,-0.18428
0.13281,0.12073,0.12944,0.13201,0.036384,0.060645,0.096646,0.18127
0.14056,0.12073,0.12944,0.13201,0.0077497,-0.028634,-0.089279,-0.18593
0.11314,0.12073,0.12944,0.13201,-0.027424,-0.035173,-0.0065391,0.08274
0.10526,0.12351,0.12914,0.13223,-0.0078755,0.019548,0.054721,0.06126
0.1145,0.12351,0.12914,0.13223,0.0092407,0.017116,-0.0024318,-0.057153
0.12639,0.12351,0.12914,0.13223,0.01189,0.0026496,-0.014467,-0.012035
0.15419,0.12351,0.12914,0.13223,0.027791,0.015901,0.013251,0.027718
0.11722,0.12351,0.12914,0.13223,-0.036969,-0.06476,-0.080661,-0.093912
0.15356,0.13478,0.12914,0.13223,0.036342,0.073311,0.13807,0.21873
0.12749,0.13478,0.12914,0.13223,-0.026068,-0.06241,-0.13572,-0.27379
0.10741,0.13478,0.12914,0.13223,-0.020083,0.0059854,0.068395,0.20412
0.12389,0.13478,0.12914,0.13223,0.016486,0.036569,0.030584,-0.037812
0.16154,0.13478,0.12914,0.13223,0.037645,0.021158,-0.015411,-0.045994
0.15234,0.13876,0.13532,0.13223,-0.0091947,-0.046839,-0.067998,-0.052587
0.091837,0.13876,0.13532,0.13223,-0.060507,-0.051312,-0.0044729,0.063525
0.16064,0.13876,0.13532,0.13223,0.068806,0.12931,0.18063,0.1851
0.15638,0.13876,0.13532,0.13223,-0.004264,-0.07307,-0.20238,-0.38301
0.13258,0.13876,0.13532,0.13223,-0.023803,-0.019539,0.053531,0.25591
0.13333,0.13189,0.13532,0.13223,0.00075758,0.02456,0.044099,-0.0094316
0.15126,0.13189,0.13532,0.13223,0.017927,0.01717,-0.0073908,-0.05149
0.10839,0.13189,0.13532,0.13223,-0.042869,-0.060796,-0.077966,-0.070575
0.11744,0.13189,0.13532,0.13223,0.0090461,0.051915,0.11271,0.19068
0.14902,0.13189,0.13532,0.13223,0.031582,0.022536,-0.029379,-0.14209
0.091912,0.12988,0.13121,0.13463,-0.057108,-0.08869,-0.11123,-0.081846
0.16803,0.12988,0.13121,0.13463,0.076121,0.13323,0.22192,0.33314
0.11111,0.12988,0.13121,0.13463,-0.056922,-0.13304,-0.26627,-0.48819
0.11837,0.12988,0.13121,0.13463,0.0072562,0.064178,0.19722,0.46349
0.16,0.12988,0.13121,0.13463,0.041633,0.034376,-0.029801,-0.22702
0.12424,0.13255,0.13121,0.13463,-0.035758,-0.07739,-0.11177,-0.081965
0.17045,0.13255,0.13121,0.13463,0.046212,0.08197,0.15936,0.27113
0.11348,0.13255,0.13121,0.13463,-0.056979,-0.10319,-0.18516,-0.34452
0.125,0.13255,0.13121,0.13463,0.011525,0.068504,0.1717,0.35686
0.12955,0.13255,0.13121,0.13463,0.0045547,-0.0069702,-0.075474,-0.24717
0.13074,0.14172,0.13804,0.13463,0.0011874,-0.0033673,0.0036029,0.079077
0.12715,0.14172,0.13804,0.13463,-0.0035943,-0.0047817,-0.0014144,-0.0050173
0.17241,0.14172,0.13804,0.13463,0.045266,0.04886,0.053642,0.055056
0.14615,0.14172,0.13804,0.13463,-0.02626,-0.071526,-0.12039,-0.17403
0.13214,0.14172,0.13804,0.13463,-0.014011,0.012249,0.083775,0.20416
0.16912,0.13435,0.13804,0.13463,0.036975,0.050986,0.038737,-0.045038
0.12644,0.13435,0.13804,0.13463,-0.042681,-0.079656,-0.13064,-0.16938
0.11715,0.13435,0.13804,0.13463,-0.009282,0.033399,0.11305,0.2437
0.10788,0.13435,0.13804,0.13463,-0.009271,1.10E-05,-0.033388,-0.14644
0.15116,0.13435,0.13804,0.13463,0.043279,0.05255,0.052539,0.085927
0.13305,0.14174,0.13434,0.1332,-0.018116,-0.061395,-0.11394,-0.16648
0.1245,0.14174,0.13434,0.1332,-0.0085492,0.0095664,0.070961,0.18491
0.12868,0.14174,0.13434,0.1332,0.0041785,0.012728,0.0031613,-0.0678
0.13571,0.14174,0.13434,0.1332,0.0070378,0.0028593,-0.0098684,-0.01303
0.18677,0.14174,0.13434,0.1332,0.051056,0.044018,0.041159,0.051027
0.11744,0.12695,0.13434,0.1332,-0.069333,-0.12039,-0.16441,-0.20557
0.13127,0.12695,0.13434,0.1332,0.013836,0.083169,0.20356,0.36797
0.10909,0.12695,0.13434,0.1332,-0.022183,-0.03602,-0.11919,-0.32275
0.12644,0.12695,0.13434,0.1332,0.017346,0.039529,0.075549,0.19474
0.1505,0.12695,0.13434,0.1332,0.024065,0.006719,-0.03281,-0.10836
0.12287,0.13616,0.13206,0.1332,-0.027635,-0.0517,-0.058419,-0.025609
0.12457,0.13616,0.13206,0.1332,0.0017006,0.029335,0.081035,0.13945
0.1391,0.13616,0.13206,0.1332,0.01453,0.01283,-0.016506,-0.097541
0.12635,0.13616,0.13206,0.1332,-0.012744,-0.027274,-0.040104,-0.023598
0.16791,0.13616,0.13206,0.1332,0.041557,0.054301,0.081575,0.12168
0.18213,0.12796,0.13206,0.1332,0.01422,-0.027337,-0.081637,-0.16321
0.10927,0.12796,0.13206,0.1332,-0.072859,-0.087079,-0.059743,0.021894
0.11409,0.12796,0.13206,0.1332,0.0048224,0.077681,0.16476,0.2245
0.13806,0.12796,0.13206,0.1332,0.023966,0.019143,-0.058538,-0.2233
0.09622,0.12796,0.13206,0.1332,-0.04184,-0.065806,-0.084949,-0.026411
0.19685,0.13772,0.13938,0.13499,0.10063,0.14247,0.20828,0.29322
0.13131,0.13772,0.13938,0.13499,-0.065537,-0.16617,-0.30864,-0.51691
0.11438,0.13772,0.13938,0.13499,-0.016934,0.048603,0.21477,0.52341
0.10954,0.13772,0.13938,0.13499,-0.0048384,0.012096,-0.036508,-0.25128
0.13653,0.13772,0.13938,0.13499,0.026991,0.031829,0.019734,0.056241
0.13636,0.14104,0.13938,0.13499,-0.00016773,-0.027158,-0.058988,-0.078721
0.13869,0.14104,0.13938,0.13499,0.0023225,0.0024902,0.029649,0.088636
0.1338,0.14104,0.13938,0.13499,-0.0048833,-0.0072058,-0.009696,-0.039345
0.15038,0.14104,0.13938,0.13499,0.016573,0.021456,0.028662,0.038358
0.14599,0.14104,0.13938,0.13499,-0.0043905,-0.020964,-0.04242,-0.071082
0.13383,0.14268,0.13059,0.13499,-0.012156,-0.0077659,0.013198,0.055618
0.10811,0.14268,0.13059,0.13499,-0.025721,-0.013564,-0.0057986,-0.018996
0.16318,0.14268,0.13059,0.13499,0.055072,0.080793,0.094357,0.10016
0.16064,0.14268,0.13059,0.13499,-0.0025373,-0.057609,-0.1384,-0.23276
0.14765,0.14268,0.13059,0.13499,-0.012992,-0.010454,0.047155,0.18556
0.10373,0.1185,0.13059,0.13499,-0.043917,-0.030925,-0.020471,-0.067626
0.097378,0.1185,0.13059,0.13499,-0.0063562,0.03756,0.068485,0.088956
0.12821,0.1185,0.13059,0.13499,0.030827,0.037183,-0.00037739,-0.068863
0.15901,0.1185,0.13059,0.13499,0.030805,-2.14E-05,-0.037204,-0.036827
0.10417,0.1185,0.13059,0.13499,-0.054844,-0.085649,-0.085628,-0.048424
0.14232,0.11566,0.12237,0.13242,0.038155,0.092999,0.17865,0.26428
0.062937,0.11566,0.12237,0.13242,-0.079385,-0.11754,-0.21054,-0.38919
0.10714,0.11566,0.12237,0.13242,0.044206,0.12359,0.24113,0.45167
0.14504,0.11566,0.12237,0.13242,0.037895,-0.0063105,-0.1299,-0.37103
0.12088,0.11566,0.12237,0.13242,-0.024159,-0.062054,-0.055744,0.074157
0.11388,0.12909,0.12237,0.13242,-0.0070001,0.017159,0.079213,0.13496
0.12857,0.12909,0.12237,0.13242,0.014692,0.021693,0.0045336,-0.07468
0.14694,0.12909,0.12237,0.13242,0.018367,0.0036749,-0.018018,-0.022551
0.1283,0.12909,0.12237,0.13242,-0.018637,-0.037004,-0.040679,-0.022662
0.12774,0.12909,0.12237,0.13242,-0.00056466,0.018072,0.055076,0.095756
0.14453,0.1451,0.14246,0.13242,0.016794,0.017359,-0.00071354,-0.05579
0.14444,0.1451,0.14246,0.13242,-8.68E-05,-0.016881,-0.03424,-0.033526
0.14126,0.1451,0.14246,0.13242,-0.0031805,-0.0030937,0.013787,0.048027
0.14655,0.1451,0.14246,0.13242,0.0052878,0.0084683,0.011562,-0.0022251
0.1487,0.1451,0.14246,0.13242,0.0021472,-0.0031406,-0.011609,-0.023171
0.12451,0.13982,0.14246,0.13242,-0.024185,-0.026332,-0.023192,-0.011583
0.15414,0.13982,0.14246,0.13242,0.029622,0.053807,0.080139,0.10333
0.11296,0.13982,0.14246,0.13242,-0.041179,-0.0708,-0.12461,-0.20475
0.15789,0.13982,0.14246,0.13242,0.044938,0.086116,0.15692,0.28152
0.14961,0.13982,0.14246,0.13242,-0.0082884,-0.053226,-0.13934,-0.29626
0.10036,0.13274,0.14205,0.14096,-0.049248,-0.040959,0.012267,0.15161
0.12406,0.13274,0.14205,0.14096,0.023702,0.07295,0.11391,0.10164
0.14391,0.13274,0.14205,0.14096,0.019851,-0.0038504,-0.0768,-0.19071
0.15523,0.13274,0.14205,0.14096,0.011323,-0.0085281,-0.0046776,0.072122
0.14015,0.13274,0.14205,0.14096,-0.015083,-0.026406,-0.017878,-0.013201
0.14902,0.15135,0.14205,0.14096,0.0088681,0.023951,0.050358,0.068236
0.11667,0.15135,0.14205,0.14096,-0.032353,-0.041221,-0.065172,-0.11553
0.168,0.15135,0.14205,0.14096,0.051333,0.083686,0.12491,0.19008
0.14815,0.15135,0.14205,0.14096,-0.019852,-0.071185,-0.15487,-0.27978
0.1749,0.15135,0.14205,0.14096,0.026757,0.046609,0.11779,0.27267
0.12676,0.1454,0.13988,0.14096,-0.048144,-0.074901,-0.12151,-0.2393
0.156,0.1454,0.13988,0.14096,0.029239,0.077384,0.15228,0.27379
0.14841,0.1454,0.13988,0.14096,-0.0075901,-0.03683,-0.11421,-0.2665
0.12727,0.1454,0.13988,0.14096,-0.021137,-0.013547,0.023282,0.1375
0.16854,0.1454,0.13988,0.14096,0.041267,0.062404,0.075951,0.052668
0.13492,0.13437,0.13988,0.14096,-0.033619,-0.074885,-0.13729,-0.21324
0.13653,0.13437,0.13988,0.14096,0.0016107,0.035229,0.11011,0.2474
0.16438,0.13437,0.13988,0.14096,0.027852,0.026241,-0.008988,-0.1191
0.11148,0.13437,0.13988,0.14096,-0.052908,-0.08076,-0.107,-0.098014
0.12454,0.13437,0.13988,0.14096,0.013067,0.065975,0.14674,0.25374
0.13571,0.13424,0.13616,0.13688,0.011172,-0.0018946,-0.067869,-0.2146
0.13281,0.13424,0.13616,0.13688,-0.0029018,-0.014074,-0.012179,0.05569
0.13655,0.13424,0.13616,0.13688,0.0037337,0.0066355,0.020709,0.032889
0.10169,0.13424,0.13616,0.13688,-0.034851,-0.038585,-0.04522,-0.06593
0.16444,0.13424,0.13616,0.13688,0.06275,0.097601,0.13619,0.18141
0.10037,0.13808,0.13616,0.13688,-0.064073,-0.12682,-0.22442,-0.36061
0.1502,0.13808,0.13616,0.13688,0.049826,0.1139,0.24072,0.46514
0.1374,0.13808,0.13616,0.13688,-0.012793,-0.062619,-0.17652,-0.41724
0.17742,0.13808,0.13616,0.13688,0.040015,0.052808,0.11543,0.29194
0.125,0.13808,0.13616,0.13688,-0.052419,-0.092434,-0.14524,-0.26067
0.1358,0.13409,0.13761,0.13688,0.010802,0.063222,0.15566,0.3009
0.13566,0.13409,0.13761,0.13688,-0.00014355,-0.010946,-0.074168,-0.22982
0.16532,0.13409,0.13761,0.13688,0.029664,0.029807,0.040753,0.11492
0.099206,0.13409,0.13761,0.13688,-0.066116,-0.09578,-0.12559,-0.16634
0.13445,0.13409,0.13761,0.13688,0.035247,0.10136,0.19714,0.32273
0.16529,0.14113,0.13761,0.13688,0.030835,-0.004412,-0.10578,-0.30292
0.12987,0.14113,0.13761,0.13688,-0.035419,-0.066255,-0.061843,0.043933
0.16355,0.14113,0.13761,0.13688,0.033681,0.0691,0.13535,0.1972
0.099099,0.14113,0.13761,0.13688,-0.064452,-0.098134,-0.16723,-0.30259
0.14783,0.14113,0.13761,0.13688,0.048727,0.11318,0.21131,0.37855
0.15451,0.14307,0.14499,0.13847,0.0066804,-0.042047,-0.15523,-0.36654
0.1625,0.14307,0.14499,0.13847,0.0079936,0.0013132,0.04336,0.19859
0.12454,0.14307,0.14499,0.13847,-0.037958,-0.045951,-0.047265,-0.090624
0.14463,0.14307,0.14499,0.13847,0.020086,0.058044,0.104,0.15126
0.12917,0.14307,0.14499,0.13847,-0.015461,-0.035547,-0.093591,-0.19759
0.16949,0.14691,0.14499,0.13847,0.040325,0.055786,0.091334,0.18492
0.12048,0.14691,0.14499,0.13847,-0.04901,-0.089334,-0.14512,-0.23645
0.11475,0.14691,0.14499,0.13847,-0.0057278,0.043282,0.13262,0.27774
0.14,0.14691,0.14499,0.13847,0.025246,0.030974,-0.012308,-0.14492
0.18981,0.14691,0.14499,0.13847,0.049815,0.024569,-0.0064048,0.0059032
0.15837,0.12292,0.13195,0.13847,-0.031444,-0.081259,-0.10583,-0.099423
0.15,0.12292,0.13195,0.13847,-0.008371,0.023073,0.10433,0.21016
0.093333,0.12292,0.13195,0.13847,-0.056667,-0.048296,-0.071368,-0.1757
0.097166,0.12292,0.13195,0.13847,0.0038327,0.060499,0.10879,0.18016
0.11574,0.12292,0.13195,0.13847,0.018575,0.014742,-0.045757,-0.15455
0.16402,0.14097,0.13195,0.13847,0.04828,0.029706,0.014964,0.060721
0.13305,0.14097,0.13195,0.13847,-0.030974,-0.079254,-0.10896,-0.12392
0.1267,0.14097,0.13195,0.13847,-0.0063504,0.024624,0.10388,0.21284
0.1422,0.14097,0.13195,0.13847,0.015505,0.021855,-0.0027682,-0.10665
0.13889,0.14097,0.13195,0.13847,-0.0033129,-0.018818,-0.040673,-0.037905
0.16749,0.14798,0.13819,0.14264,0.028599,0.031912,0.05073,0.091403
0.13617,0.14798,0.13819,0.14264,-0.031317,-0.059916,-0.091828,-0.14256
0.17391,0.14798,0.13819,0.14264,0.037743,0.06906,0.12898,0.2208
0.11155,0.14798,0.13819,0.14264,-0.062359,-0.1001,-0.16916,-0.29814
0.15075,0.14798,0.13819,0.14264,0.0392,0.10156,0.20166,0.37082
0.1122,0.12841,0.13819,0.14264,-0.038559,-0.077759,-0.17932,-0.38098
0.14085,0.12841,0.13819,0.14264,0.02865,0.067209,0.14497,0.32429
0.19072,0.12841,0.13819,0.14264,0.049877,0.021227,-0.045982,-0.19095
